Nom;                            Adresse
A Cantina;                      6 rue Charles Croizé, 35740 Pacé
Au Fil du Vin;                  2 Allée de Tournemine, 22400 Lamballe
Au Fil du Vin;                  7 impasse du Goëlo, 22970 Ploumagoar
Au loup garou gourmand;         place de l'église, 29180 Locronan
Au père Bouc;                   43, Rue Saint Hélier 35000 Rennes
Au temps des cerises;           9 RUE DE PARIS,	35220	Chateaubourg
Be Malt (www.bemalt.fr); 	35760, Saint Grégoire
Bar le puits sans fond;         10 rue de la Libération,	22630	Evran
BioZH;                          La fouinardière, Route du meuble, 35760 Saint Grégoire
Bleizi Du;                      7bis rampe St Nicolas, 29600 Morlaix
Breizhicoop;                    15 Avenue de Pologne, 35200 Rennes
Café restaurant St Fiacre;      1 place de la mairie, 35630 Les Iffs
Cavavin Chartres;               2 place René Cassin, 35131 Chartres de Bretagne
Cavavin Mordelles;		Place des Muletiers, 35310 Mordelles
Cave Bréalaise;                 35 Rue de Montfort, 35310 Bréal-sous-Montfort
Chez Alain;                     18 Rue Poullain Duparc, 35000 Rennes
Coopérative La Louve;           116 rue des Poissonniers,	75018	Paris
Entre Pots;                     2, place de Moro Giafféri,	75014	Paris
Épicerie de St Germain;         6 place Poulain	35250,	St Germain sur Ille
Espace Beausoleil;              Allée de la Mine, 35131 Pont Péan
Grain de sel;                   16 rue St Michel, 44350 Guerande
It's Five O'Clock Somewhere;    12 Rue Saint-Melaine, 35000 Rennes
Ker Beer;                       10 Rue Vandamme, 75014 Paris
Kyushu;                         5 place St Melaine, 35740 Pacé
L'Air Libre;                    2 Rue Jules Vallès, 35136 St Jacques de La Lande
L'Écume des Bières;             5 Rue des Cordiers, Saint-35400 Malo
L'Épicerie Au Grand Air;        Place de la rotonde, 35000 Rennes
L'Épicerie du Mail;             36 Mail François Mitterrand, 35000 Rennes
L'escale paysanne;              15 place Docteur Queinnec,	56140	Malestroit
La Bonne Heure;                 15 rue Emile Le Taillandier, 22300 Lannion
La Cave à Flo;                  3, allée de Bray, ZA de Bray, 35510 Cesson Sévigné
La Cave d'Élodie;               16 rue du Faubourg Berthault 35190 Becherel
La Cave de Céline;              39 Rue de Rennes, 35230 Noyal-Châtillon-sur-Seiche
La Cave de Fablo;               ZA La Métairie, 35520 Melesse
La Dionyversite;                6 Place du Bel Air,	93200	St Denis
La louve;                       116, rue des Poissonniers, 75018 Paris
LA RECYCL';                     23 Rue Paul Barreau	58140,	Lormes
La Rennes du Bal;		49 Rue Ginguené, 35000 Rennes
La réserve;                     4 rue de dinan, 35850 Gévezé
Le Bercail;                     33 rue Saint Melaine,	35200	Rennes
Le Bistrot d'Angel;             8 rue de la Mairie, 35580 Goven
Le Byggvir;                     73A rue de Bretagne, 35133 Beaucé
Le Cellier Rennais;             6 Rue de la Binquenais, 35200 Rennes
Le Chai D'rv;                   17 Rue d'Haigerloch, 35530 Noyal-sur-Vilaine
Le Chai du Barbu;               26 rue de Rennes, 35140 St Aubin de Cormier
Le Chasné;                      9 rue de l'École, 35250 Chasné sur illet
Le Coin Mousse;                 4 Mail François Mitterrand, 35000 Rennes
Le Gout du Bio;                 36 rue Marechal de Lattre de Tassy, 35580 Guichen
Le Guibra;                      18 rue de la grange, 35250 St Sulpice la Foret
Le Lok'all;                     1 rue du Pont Coz,	29600	Morlaix
Le marchand de bière;           Place du bas des lices, 35000 Rennes
Le petit café dans la prairie;  41 rue des Ducs de Bretagne, Le Gorvello  56450 Theix-Noyalo
Le pif en l'air;                4 rue des Trente, 35000 Rennes
Le potager de Lily;             4 RUE GEORGES CLEMENCEAU,	35240	Retiers
Le Sur Mesure Rennes;           18 Rue de Robien, 35000 Rennes
Les Audacieuses;                36 rue de Paris, 35000 Rennes
Les Clandestines;               36 rue de Paris, 35000 Rennes
Les Goulus;                     11 place St Melaine, 35740 Pacé
Les Oiseaux de passage;         20 rue de la chaux, 22100 Dinan
Les Petits Chapelais;           Les Petits Chapelais 35310 Chavagne
Les Pieds sur Terre Biocoop;    19 Rue Saint-Nicolas, 35410 Châteaugiron
Les Pieds sur Terre Biocoop;    28 Route de Bain, 35150 Janzé
Les Sommeliers Cavistes;        17bis Rue Garengeot, 35500 Vitré
Lysadis;                        2 Avenue des Monts-Gaultier 35230 Noyal-Châtillon-sur-Seiche
Maguey;                         99 rue de Charenton, 75000 Paris
Mar'mousse;                     25 rue Adolphe Le Bail 22190 Plerin
Marché des Lices;               Place des lices, 35000 Rennes
Oeuf – La Crêperie;             38 Rue de Saint-Malo, 35000 Rennes
Office de tourisme;		11 Rue Saint-Yves, 35000 Rennes
Petite Nature;                  1 place de la rotonde,	35000	Rennes
Pub le Keltia;                  11 rue du pont, 29800 Landerneau
SARL JSMP EPISERVICE;       	22 grande rue,	37350	Le grand Pressigny
Scarabée Biocoop Bruz;          5-7 rue de Gavrinis, 35170 Bruz
Scarabée Biocoop Cesson;        8 rue des peupliers, 35510 CESSON-SÉVIGNÉ
Scarabée Biocoop Cleunay;       132 rue Eugène Pottier, 35000 Rennes
Scarabée Biocoop Papu;          18 rue Papu, 35000 Rennes
Scarabée Biocoop rue de Paris;  131 rue de Paris, 35000 Rennes
Scarabée Biocoop St Grégoire;   8 rue de la Cerisaie, 35760 St Grégoire
Scarabée Biocoop Vasselot;      10 rue Vasselot, 35000 Rennes
Scarabée Biocoop Vern;          Centre Commercial du Val D’Orson, 35770 Vern Sur Seiche
SNC Château des Pères;          Le Château, Piré-sur-35150 Seiche
